P3_22,P3_21,P3_20,P3_19,csvTime
37,38,894,895,2024-05-20 08:42:01
21,31,171,0,2024-05-20 08:43:01
34,41,-141,-4,2024-05-20 08:44:01
36,0,-6,845,2024-05-20 08:45:01
57,58,899,898,2024-05-20 08:46:01
14,15,177,232,2024-05-20 08:47:01
21,23,512,900,2024-05-20 08:48:01
47,47,500,500,2024-05-20 08:49:01
44,45,895,900,2024-05-20 08:50:01
45,45,4,0,2024-05-20 08:51:01
28,29,337,342,2024-05-20 08:52:01
28,29,-6,-6,2024-05-20 08:53:01
1,0,895,898,2024-05-20 08:54:01
11,13,302,0,2024-05-20 08:55:02
14,14,231,280,2024-05-20 08:56:01
26,23,188,116,2024-05-20 08:57:01
19,20,-86,-105,2024-05-20 08:58:01
16,17,217,162,2024-05-20 08:59:01
20,21,342,332,2024-05-20 09:00:02
29,30,63,12,2024-05-20 09:01:01
29,30,6,-32,2024-05-20 09:02:01
18,19,30,25,2024-05-20 09:03:01
18,19,-335,-320,2024-05-20 09:04:01
1,0,905,901,2024-05-20 09:05:01
1,0,900,898,2024-05-20 09:06:01
44,45,895,898,2024-05-20 09:07:01
25,26,-469,-472,2024-05-20 09:08:01
14,16,487,560,2024-05-20 09:09:01
18,19,340,342,2024-05-20 09:10:01
29,29,339,342,2024-05-20 09:11:01
29,29,339,342,2024-05-20 09:12:01
29,29,-138,-120,2024-05-20 09:13:01
19,20,6,6,2024-05-20 09:14:01
19,20,0,-8,2024-05-20 09:15:01
17,17,-41,0,2024-05-20 09:16:01
14,15,-337,-347,2024-05-20 09:17:01
14,15,-344,-342,2024-05-20 09:18:01
14,15,8,60,2024-05-20 09:19:01
22,22,340,342,2024-05-20 09:20:01
13,14,330,329,2024-05-20 09:21:01
13,14,344,345,2024-05-20 09:22:01
13,14,111,95,2024-05-20 09:23:02
13,14,-12,-24,2024-05-20 09:24:01
13,14,-207,-232,2024-05-20 09:25:01
20,21,-253,-243,2024-05-20 09:26:01
22,23,-65,-65,2024-05-20 09:27:01
27,27,121,120,2024-05-20 09:28:01
14,14,202,215,2024-05-20 09:29:01
26,27,342,342,2024-05-20 09:30:01
26,27,226,221,2024-05-20 09:31:01
26,27,-60,-76,2024-05-20 09:32:01
26,27,-56,-11,2024-05-20 09:33:01
20,20,-40,-41,2024-05-20 09:34:01
16,17,-34,-51,2024-05-20 09:35:01
15,15,-18,-27,2024-05-20 09:36:01
14,15,20,27,2024-05-20 09:37:01
14,15,133,138,2024-05-20 09:38:01
18,18,311,311,2024-05-20 09:39:01
16,17,297,303,2024-05-20 09:40:01
16,17,105,76,2024-05-20 09:41:02
20,21,-45,-50,2024-05-20 09:42:02
22,23,-48,-63,2024-05-20 09:43:01
24,25,37,39,2024-05-20 09:44:01
24,25,86,79,2024-05-20 09:45:01
24,25,43,32,2024-05-20 09:46:01
24,25,-2,-10,2024-05-20 09:47:01
16,17,32,34,2024-05-20 09:48:01
16,16,141,131,2024-05-20 09:49:01
15,16,180,186,2024-05-20 09:50:02
16,17,242,245,2024-05-20 09:51:01
18,19,192,172,2024-05-20 09:52:01
18,18,16,4,2024-05-20 09:53:01
20,21,-81,-81,2024-05-20 09:54:01
20,21,-45,-41,2024-05-20 09:55:01
20,21,6,16,2024-05-20 09:56:02
20,21,161,173,2024-05-20 09:57:01
20,20,277,263,2024-05-20 09:58:01
20,20,186,168,2024-05-20 09:59:01
20,20,4,-22,2024-05-20 10:00:01
20,21,-128,-128,2024-05-20 10:01:01
20,20,-75,-76,2024-05-20 10:02:01
20,20,182,192,2024-05-20 10:03:01
20,20,291,320,2024-05-20 10:04:01
20,20,342,342,2024-05-20 10:05:01
24,25,342,342,2024-05-20 10:06:01
24,25,246,232,2024-05-20 10:07:01
24,25,113,151,2024-05-20 10:08:01
24,25,-63,-75,2024-05-20 10:09:01
24,25,20,20,2024-05-20 10:10:01
24,25,20,17,2024-05-20 10:11:01
16,17,12,10,2024-05-20 10:12:01
16,17,88,100,2024-05-20 10:13:01
16,17,146,141,2024-05-20 10:14:01
16,17,162,162,2024-05-20 10:15:01
16,17,296,297,2024-05-20 10:16:01
16,17,339,342,2024-05-20 10:17:01
16,17,339,342,2024-05-20 10:18:01
22,23,339,342,2024-05-20 10:19:01
22,14,339,342,2024-05-20 10:20:01
22,25,153,143,2024-05-20 10:21:01
20,21,-172,-177,2024-05-20 10:22:01
21,21,-344,-344,2024-05-20 10:23:01
21,21,-217,-207,2024-05-20 10:24:01
21,21,165,168,2024-05-20 10:25:01
29,29,337,344,2024-05-20 10:26:01
28,29,-10,-20,2024-05-20 10:27:01
29,29,-12,-10,2024-05-20 10:28:01
28,29,0,-5,2024-05-20 10:29:01
28,29,22,6,2024-05-20 10:30:01
20,20,32,34,2024-05-20 10:31:01
20,20,113,126,2024-05-20 10:32:01
20,20,268,266,2024-05-20 10:33:01
19,20,248,227,2024-05-20 10:34:01
20,20,2,-34,2024-05-20 10:35:01
19,20,-233,-230,2024-05-20 10:36:01
25,25,-228,-232,2024-05-20 10:37:01
25,25,128,151,2024-05-20 10:38:01
25,25,317,313,2024-05-20 10:39:01
25,25,113,80,2024-05-20 10:40:01
25,25,-241,-226,2024-05-20 10:41:01
16,17,324,306,2024-05-20 10:42:01
16,17,253,243,2024-05-20 10:43:01
18,19,-91,-111,2024-05-20 10:44:01
18,19,-232,-298,2024-05-20 10:45:01
18,19,50,63,2024-05-20 10:46:01
18,19,-16,-71,2024-05-20 10:47:01
21,22,324,325,2024-05-20 10:48:01
24,25,-44,-86,2024-05-20 10:49:01
24,25,6,-2,2024-05-20 10:50:01
22,22,37,37,2024-05-20 10:51:01
20,20,11,8,2024-05-20 10:52:01
20,20,-6,-2,2024-05-20 10:53:01
20,20,-17,-17,2024-05-20 10:54:01
20,20,136,141,2024-05-20 10:55:01
20,20,105,106,2024-05-20 10:56:01
19,17,-60,-60,2024-05-20 10:57:01
16,17,115,133,2024-05-20 10:58:01
16,17,140,145,2024-05-20 10:59:01
18,19,75,53,2024-05-20 12:00:01
18,19,220,246,2024-05-20 12:01:01
18,19,178,162,2024-05-20 12:02:01
1,0,894,898,2024-05-20 12:03:01
22,23,895,898,2024-05-20 12:04:01
1,0,896,898,2024-05-20 12:05:02
17,18,895,900,2024-05-20 12:06:01
1,0,895,898,2024-05-20 12:07:01
22,23,895,898,2024-05-20 12:08:01
13,14,895,898,2024-05-20 12:09:01
25,26,895,898,2024-05-20 12:10:01
28,28,896,898,2024-05-20 12:11:01
29,30,895,900,2024-05-20 12:12:01
36,37,30,-15,2024-05-20 12:13:01
45,45,79,30,2024-05-20 12:14:01
44,45,-141,-148,2024-05-20 12:15:01
19,20,30,50,2024-05-20 12:16:01
16,17,-103,-101,2024-05-20 12:17:01
19,20,40,3,2024-05-20 12:18:01
19,20,103,80,2024-05-20 12:19:01
19,20,-32,-56,2024-05-20 12:20:01
19,20,-32,-66,2024-05-20 12:21:01
19,21,-18,-78,2024-05-20 12:22:01
19,20,206,255,2024-05-20 12:23:01
20,20,-98,-88,2024-05-20 12:24:01
20,20,-30,15,2024-05-20 12:25:01
20,20,186,171,2024-05-20 12:26:01
20,20,96,128,2024-05-20 12:27:01
20,20,-55,-63,2024-05-20 12:28:01
20,20,182,172,2024-05-20 12:29:01
20,20,-17,-16,2024-05-20 12:30:01
20,20,-6,-8,2024-05-20 12:31:01
20,20,-50,-16,2024-05-20 12:32:01
18,19,120,121,2024-05-20 12:33:01
18,19,-10,-22,2024-05-20 12:34:01
18,19,85,76,2024-05-20 12:35:01
18,19,8,24,2024-05-20 12:36:01
16,17,-69,-54,2024-05-20 12:37:01
9,10,-118,-130,2024-05-20 12:38:01
1,0,895,900,2024-05-20 12:39:01
1,0,901,900,2024-05-20 12:40:01
17,19,-20,-68,2024-05-20 12:41:01
18,19,-201,-170,2024-05-20 12:42:02
18,19,166,181,2024-05-20 12:43:01
17,17,175,176,2024-05-20 12:44:01
12,11,-231,-232,2024-05-20 12:45:01
10,11,-340,-344,2024-05-20 12:46:01
10,11,-327,-330,2024-05-20 12:47:01
10,11,-192,-196,2024-05-20 12:48:01
10,11,118,116,2024-05-20 12:49:01
10,11,45,25,2024-05-20 12:50:01
10,11,-162,-197,2024-05-20 12:51:01
14,16,894,898,2024-05-20 12:52:01
20,21,895,898,2024-05-20 12:53:01
9,12,514,0,2024-05-20 12:54:01
26,27,896,898,2024-05-20 12:55:01
31,31,-145,-143,2024-05-20 12:56:01
39,40,337,342,2024-05-20 12:57:01
39,40,54,73,2024-05-20 12:58:01
25,25,20,24,2024-05-20 12:59:01
85,85,-25,-41,2024-05-20 17:00:01
85,85,-6,-17,2024-05-20 17:01:01
85,85,-6,-16,2024-05-20 17:02:01
85,85,-18,-5,2024-05-20 17:03:01
85,85,15,-18,2024-05-20 17:04:01
85,85,0,-12,2024-05-20 17:05:01
85,85,-20,-8,2024-05-20 17:06:01
85,85,0,15,2024-05-20 17:07:01
85,85,0,-5,2024-05-20 17:08:01
85,85,0,-17,2024-05-20 17:09:01
85,85,11,17,2024-05-20 17:10:01
85,85,20,-15,2024-05-20 17:11:01
85,85,-20,-32,2024-05-20 17:12:01
85,85,-11,6,2024-05-20 17:13:01
85,85,-131,-123,2024-05-20 17:14:01
85,85,-50,-45,2024-05-20 17:15:01
85,85,-40,4,2024-05-20 17:16:01
85,85,-25,-25,2024-05-20 17:17:01
85,85,-27,-49,2024-05-20 17:18:01
85,85,-10,-40,2024-05-20 17:19:01
85,85,-4,5,2024-05-20 17:20:01
85,85,8,8,2024-05-20 17:21:01
85,85,4,-17,2024-05-20 17:22:01
85,85,-17,6,2024-05-20 17:23:01
85,85,-17,-35,2024-05-20 17:24:01
85,85,-5,6,2024-05-20 17:25:01
85,85,16,8,2024-05-20 17:26:01
85,85,-4,-10,2024-05-20 17:27:01
85,85,-13,-25,2024-05-20 17:28:01
85,85,-15,-10,2024-05-20 17:29:01
85,85,-10,-17,2024-05-20 17:30:01
85,85,1,-10,2024-05-20 17:31:01
85,85,-4,-10,2024-05-20 17:32:01
85,85,-4,8,2024-05-20 17:33:01
85,85,-2,17,2024-05-20 17:34:01
85,85,0,-22,2024-05-20 17:35:01
85,85,-4,-1,2024-05-20 17:36:01
85,85,-17,-22,2024-05-20 17:37:01
85,85,20,4,2024-05-20 17:38:01
85,85,-3,-32,2024-05-20 17:39:01
85,85,-5,-30,2024-05-20 17:40:01
85,85,-2,30,2024-05-20 17:41:01
85,85,-13,-17,2024-05-20 17:42:01
85,85,-2,2,2024-05-20 17:43:01
85,85,-6,-6,2024-05-20 17:44:01
85,85,6,-6,2024-05-20 17:45:01
85,85,-1,-1,2024-05-20 17:46:01
85,85,11,3,2024-05-20 17:47:01
85,85,-12,22,2024-05-20 17:48:01
85,85,-2,-12,2024-05-20 17:49:01
85,85,17,-17,2024-05-20 17:50:01
85,85,-25,-45,2024-05-20 17:51:01
85,85,-4,0,2024-05-20 17:52:01
85,85,-5,-1,2024-05-20 17:53:01
85,85,17,-15,2024-05-20 17:54:01
85,85,2,2,2024-05-20 17:55:01
85,85,-2,3,2024-05-20 17:56:01
85,85,18,-12,2024-05-20 17:57:01
85,85,-6,6,2024-05-20 17:58:01
85,85,-18,-12,2024-05-20 17:59:01
85,85,20,8,2024-05-20 18:00:01
85,85,-1,-5,2024-05-20 18:01:01
85,85,-2,-10,2024-05-20 18:02:01
85,85,11,17,2024-05-20 18:03:01
85,85,0,12,2024-05-20 18:04:01
85,85,29,25,2024-05-20 18:05:01
85,85,0,25,2024-05-20 18:06:01
85,85,4,-5,2024-05-20 18:07:01
85,85,-3,-18,2024-05-20 18:08:01
85,85,-10,-30,2024-05-20 18:09:01
85,85,0,-5,2024-05-20 18:10:01
85,85,-30,-37,2024-05-20 18:11:01
85,85,-10,-5,2024-05-20 18:12:01
85,85,-6,-10,2024-05-20 18:13:01
85,85,-17,-13,2024-05-20 18:14:01
85,85,8,-2,2024-05-20 18:15:01
85,85,1,13,2024-05-20 18:16:01
85,85,-5,25,2024-05-20 18:17:01
85,85,4,-3,2024-05-20 18:18:01
85,85,-17,11,2024-05-20 18:19:01
85,85,-4,-1,2024-05-20 18:20:01
85,85,3,-10,2024-05-20 18:21:01
85,85,-2,25,2024-05-20 18:22:01
85,85,0,1,2024-05-20 18:23:01
85,85,6,8,2024-05-20 18:24:01
85,85,2,-5,2024-05-20 18:25:01
85,85,-10,-11,2024-05-20 18:26:01
85,85,-15,-58,2024-05-20 18:27:01
85,85,-18,-8,2024-05-20 18:28:01
85,85,-25,-12,2024-05-20 18:29:01
85,85,-11,6,2024-05-20 18:30:01
85,85,-20,10,2024-05-20 18:31:01
85,85,-4,0,2024-05-20 18:32:01
85,85,4,-2,2024-05-20 18:33:01
85,85,2,-20,2024-05-20 18:34:01
85,85,18,2,2024-05-20 18:35:01
85,85,-4,-6,2024-05-20 18:36:01
85,85,-22,-41,2024-05-20 18:37:01
85,85,8,-8,2024-05-20 18:38:01
85,85,-5,0,2024-05-20 18:39:01
85,85,-27,-8,2024-05-20 18:40:01
85,85,-17,-18,2024-05-20 18:41:01
85,85,-22,-27,2024-05-20 18:42:01
85,85,8,-2,2024-05-20 18:43:01
85,85,-12,-13,2024-05-20 18:44:01
85,85,-1,3,2024-05-20 18:45:01
85,85,-22,-20,2024-05-20 18:46:01
85,85,2,-24,2024-05-20 18:47:01
85,85,12,17,2024-05-20 18:48:01
85,85,8,-13,2024-05-20 18:49:01
85,85,-12,6,2024-05-20 18:50:01
85,85,-6,-2,2024-05-20 18:51:01
85,85,2,-24,2024-05-20 18:52:01
85,85,-15,-17,2024-05-20 18:53:01
85,85,-10,-3,2024-05-20 18:54:01
85,85,1,-8,2024-05-20 18:55:01
85,85,15,-12,2024-05-20 18:56:01
85,85,11,2,2024-05-20 18:57:01
85,85,20,6,2024-05-20 18:58:01
85,85,-4,-1,2024-05-20 18:59:01
85,85,-15,11,2024-05-20 19:00:01
85,85,-2,-8,2024-05-20 19:01:01
85,85,3,-18,2024-05-20 19:02:01
85,85,0,5,2024-05-20 19:03:01
85,85,-17,-27,2024-05-20 19:04:01
85,85,20,17,2024-05-20 19:05:01
85,85,-2,10,2024-05-20 19:06:01
85,85,-18,8,2024-05-20 19:07:01
85,85,17,25,2024-05-20 19:08:01
85,85,-13,-6,2024-05-20 19:09:01
85,85,15,40,2024-05-20 19:10:01
85,85,-13,-1,2024-05-20 19:11:01
85,85,-4,-8,2024-05-20 19:12:01
85,85,-13,6,2024-05-20 19:13:01
85,85,-4,-13,2024-05-20 19:14:01
85,85,-10,-5,2024-05-20 19:15:01
85,85,24,1,2024-05-20 19:16:01
85,85,0,-1,2024-05-20 19:17:01
85,85,0,-13,2024-05-20 19:18:01
85,85,6,-8,2024-05-20 19:19:01
85,85,-6,8,2024-05-20 19:20:01
85,85,-6,12,2024-05-20 19:21:01
85,85,-20,-27,2024-05-20 19:22:01
85,85,30,8,2024-05-20 19:23:01
85,85,-13,-12,2024-05-20 19:24:01
85,85,8,-4,2024-05-20 19:25:01
85,85,-85,-126,2024-05-20 19:26:01
85,85,11,-15,2024-05-20 19:27:01
85,85,-6,-8,2024-05-20 19:28:01
85,85,5,8,2024-05-20 19:29:01
85,85,8,16,2024-05-20 19:30:01
85,85,-8,-12,2024-05-20 19:31:01
85,85,8,3,2024-05-20 19:32:01
85,85,-1,-20,2024-05-20 19:33:01
85,85,0,-5,2024-05-20 19:34:01
85,85,-4,-3,2024-05-20 19:35:01
85,85,8,17,2024-05-20 19:36:01
85,85,-6,-2,2024-05-20 19:37:01
85,85,8,6,2024-05-20 19:38:01
85,85,-4,-3,2024-05-20 19:39:01
85,85,-4,-16,2024-05-20 19:40:01
85,85,5,-3,2024-05-20 19:41:01
85,85,-1,-11,2024-05-20 19:42:01
85,85,-3,2,2024-05-20 19:43:01
85,85,-13,-30,2024-05-20 19:44:01
85,85,-4,-5,2024-05-20 19:45:01
85,85,11,12,2024-05-20 19:46:01
85,85,-3,-4,2024-05-20 19:47:01
85,85,16,20,2024-05-20 19:48:01
85,85,0,17,2024-05-20 19:49:01
85,85,0,11,2024-05-20 19:50:01
85,85,-35,-1,2024-05-20 19:51:01
85,85,-3,2,2024-05-20 19:52:01
85,85,15,20,2024-05-20 19:53:01
85,85,6,25,2024-05-20 19:54:01
85,85,-6,13,2024-05-20 19:55:01
85,85,-6,0,2024-05-20 19:56:01
85,85,-2,0,2024-05-20 19:57:01
85,85,-30,-59,2024-05-20 19:58:01
85,85,-25,-1,2024-05-20 19:59:01
85,85,-17,-25,2024-05-20 20:00:01
85,85,11,15,2024-05-20 20:01:01
85,85,-6,-8,2024-05-20 20:02:01
85,85,-17,-37,2024-05-20 20:03:01
85,85,-8,2,2024-05-20 20:04:01
85,85,-12,11,2024-05-20 20:05:01
85,85,-8,15,2024-05-20 20:06:01
85,85,-11,29,2024-05-20 20:07:01
85,85,-11,-1,2024-05-20 20:08:01
85,85,4,8,2024-05-20 20:09:01
85,85,15,34,2024-05-20 20:10:01
85,85,-4,-24,2024-05-20 20:11:01
85,85,-17,-29,2024-05-20 20:12:01
85,85,22,22,2024-05-20 20:13:01
85,85,-8,-39,2024-05-20 20:14:01
85,85,8,8,2024-05-20 20:15:01
85,85,-12,-12,2024-05-20 20:16:01
85,85,-13,-8,2024-05-20 20:17:01
85,85,-30,-24,2024-05-20 20:18:01
85,85,30,12,2024-05-20 20:19:01
85,85,-6,-25,2024-05-20 20:20:01
85,85,18,29,2024-05-20 20:21:01
85,85,-18,-10,2024-05-20 20:22:01
85,85,4,30,2024-05-20 20:23:01
85,85,-8,12,2024-05-20 20:24:01
85,85,-17,-34,2024-05-20 20:25:01
85,85,-8,-1,2024-05-20 20:26:01
85,85,-10,-13,2024-05-20 20:27:01
85,85,-15,-5,2024-05-20 20:28:01
85,85,18,-24,2024-05-20 20:29:01
85,85,12,-8,2024-05-20 20:30:01
85,85,-12,-10,2024-05-20 20:31:01
85,85,-27,-37,2024-05-20 20:32:01
85,85,53,58,2024-05-20 20:33:01
85,85,45,40,2024-05-20 20:34:01
85,85,20,25,2024-05-20 20:35:01
85,85,50,13,2024-05-20 20:36:01
85,85,106,88,2024-05-20 20:37:01
85,85,12,15,2024-05-20 20:38:01
60,60,2,10,2024-05-20 20:39:01
65,64,2,-3,2024-05-20 20:40:01
64,64,0,-3,2024-05-20 20:41:01
65,65,-6,-4,2024-05-20 20:42:01
65,65,-6,-4,2024-05-20 20:43:01
65,65,-20,-4,2024-05-20 20:44:01
65,65,-17,-25,2024-05-20 20:45:01
65,65,-20,5,2024-05-20 20:46:01
65,65,30,17,2024-05-20 20:47:01
40,41,-6,-5,2024-05-20 20:48:01
34,34,-6,-4,2024-05-20 20:49:01
33,34,-6,-4,2024-05-20 20:50:01
33,34,-6,-2,2024-05-20 20:51:01
33,34,-6,-4,2024-05-20 20:52:01
35,36,-6,-2,2024-05-20 20:53:01
14,0,-6,-4,2024-05-20 20:54:01
1,0,896,898,2024-05-20 20:55:01
1,0,899,898,2024-05-20 20:56:01
1,0,899,898,2024-05-20 20:57:01
1,0,899,895,2024-05-20 20:58:01
9,0,899,898,2024-05-20 20:59:01
0,0,905,906,2024-05-20 22:00:01
0,0,905,906,2024-05-20 22:01:01
0,0,905,909,2024-05-20 22:02:01
0,0,905,906,2024-05-20 22:03:01
0,0,905,906,2024-05-20 22:04:01
0,0,905,909,2024-05-20 22:05:01
0,0,905,906,2024-05-20 22:06:01
0,0,905,909,2024-05-20 22:07:01
0,0,905,906,2024-05-20 22:08:01
0,0,905,909,2024-05-20 22:09:01
0,0,905,909,2024-05-20 22:10:01
0,0,905,909,2024-05-20 22:11:01
0,0,905,909,2024-05-20 22:12:01
0,0,905,906,2024-05-20 22:13:01
0,0,905,909,2024-05-20 22:14:01
0,0,905,909,2024-05-20 22:15:01
0,0,905,906,2024-05-20 22:16:01
0,0,905,906,2024-05-20 22:17:01
0,0,905,906,2024-05-20 22:18:01
0,0,905,909,2024-05-20 22:19:01
0,0,905,909,2024-05-20 22:20:01
0,0,905,909,2024-05-20 22:21:01
0,0,905,906,2024-05-20 22:22:01
0,0,905,909,2024-05-20 22:23:01
0,0,905,906,2024-05-20 22:24:01
0,0,905,909,2024-05-20 22:25:01
0,0,905,909,2024-05-20 22:26:01
0,0,905,909,2024-05-20 22:27:01
0,0,905,909,2024-05-20 22:28:01
0,0,905,909,2024-05-20 22:29:01
0,0,905,906,2024-05-20 22:30:01
0,0,905,906,2024-05-20 22:31:01
0,0,905,909,2024-05-20 22:32:01
0,0,905,909,2024-05-20 22:33:01
0,0,905,909,2024-05-20 22:34:01
0,0,905,906,2024-05-20 22:35:01
0,0,905,909,2024-05-20 22:36:01
0,0,905,909,2024-05-20 22:37:01
0,0,905,906,2024-05-20 22:38:01
0,0,905,909,2024-05-20 22:39:01
0,0,905,906,2024-05-20 22:40:01
0,0,905,909,2024-05-20 22:41:01
0,0,905,906,2024-05-20 22:42:01
0,0,905,906,2024-05-20 22:43:01
0,0,905,909,2024-05-20 22:44:01
0,0,905,906,2024-05-20 22:45:01
0,0,905,906,2024-05-20 22:46:01
0,0,905,909,2024-05-20 22:47:01
0,0,905,906,2024-05-20 22:48:01
0,0,905,909,2024-05-20 22:49:01
0,0,905,909,2024-05-20 22:50:01
0,0,905,909,2024-05-20 22:51:01
0,0,905,909,2024-05-20 22:52:01
0,0,905,909,2024-05-20 22:53:01
0,0,905,906,2024-05-20 22:54:01
0,0,905,906,2024-05-20 22:55:01
0,0,905,909,2024-05-20 22:56:01
0,0,905,909,2024-05-20 22:57:01
0,0,905,906,2024-05-20 22:58:01
0,0,905,906,2024-05-20 22:59:01
0,0,905,909,2024-05-20 23:00:01
0,0,905,906,2024-05-20 23:01:01
0,0,905,909,2024-05-20 23:02:01
0,0,905,906,2024-05-20 23:03:01
0,0,905,909,2024-05-20 23:04:01
0,0,905,906,2024-05-20 23:05:01
0,0,905,909,2024-05-20 23:06:01
0,0,905,909,2024-05-20 23:07:01
0,0,905,909,2024-05-20 23:08:01
0,0,905,909,2024-05-20 23:09:01
0,0,905,909,2024-05-20 23:10:01
0,0,905,909,2024-05-20 23:11:01
0,0,905,906,2024-05-20 23:12:01
0,0,905,906,2024-05-20 23:13:01
0,0,905,909,2024-05-20 23:14:01
0,0,905,909,2024-05-20 23:15:01
0,0,905,906,2024-05-20 23:16:01
0,0,905,909,2024-05-20 23:17:01
0,0,905,909,2024-05-20 23:18:01
0,0,905,906,2024-05-20 23:19:01
0,0,905,909,2024-05-20 23:20:01
0,0,905,906,2024-05-20 23:21:01
0,0,905,906,2024-05-20 23:22:01
0,0,905,909,2024-05-20 23:23:01
0,0,905,906,2024-05-20 23:24:01
0,0,905,909,2024-05-20 23:25:01
0,0,905,909,2024-05-20 23:26:01
0,0,905,909,2024-05-20 23:27:01
0,0,905,909,2024-05-20 23:28:01
0,0,905,909,2024-05-20 23:29:01
0,0,905,909,2024-05-20 23:30:01
0,0,905,909,2024-05-20 23:31:01
0,0,905,909,2024-05-20 23:32:01
0,0,905,909,2024-05-20 23:33:01
0,0,905,909,2024-05-20 23:34:01
0,0,905,909,2024-05-20 23:35:01
0,0,905,909,2024-05-20 23:36:01
0,0,905,906,2024-05-20 23:37:01
0,0,905,909,2024-05-20 23:38:01
0,0,905,909,2024-05-20 23:39:01
0,0,905,906,2024-05-20 23:40:01
0,0,905,909,2024-05-20 23:41:01
0,0,905,909,2024-05-20 23:42:01
0,0,905,906,2024-05-20 23:43:01
0,0,905,909,2024-05-20 23:44:01
0,0,905,906,2024-05-20 23:45:01
0,0,905,906,2024-05-20 23:46:01
0,0,905,906,2024-05-20 23:47:01
0,0,905,909,2024-05-20 23:48:01
0,0,905,909,2024-05-20 23:49:01
0,0,905,909,2024-05-20 23:50:01
0,0,905,909,2024-05-20 23:51:01
0,0,905,909,2024-05-20 23:52:01
0,0,905,909,2024-05-20 23:53:01
0,0,905,909,2024-05-20 23:54:01
0,0,905,909,2024-05-20 23:55:01
0,0,905,906,2024-05-20 23:56:01
0,0,905,909,2024-05-20 23:57:01
0,0,905,909,2024-05-20 23:58:01
0,0,905,906,2024-05-20 23:59:01
0,0,905,909,2024-05-21 00:00:01
0,0,905,906,2024-05-21 00:01:01
0,0,905,909,2024-05-21 00:02:01
0,0,905,909,2024-05-21 00:03:01
0,0,905,909,2024-05-21 00:04:01
0,0,905,906,2024-05-21 00:05:01
0,0,905,909,2024-05-21 00:06:01
0,0,905,909,2024-05-21 00:07:01
0,0,905,909,2024-05-21 00:08:01
0,0,905,906,2024-05-21 00:09:01
0,0,905,909,2024-05-21 00:10:01
0,0,905,909,2024-05-21 00:11:01
0,0,905,906,2024-05-21 00:12:01
0,0,905,909,2024-05-21 00:13:01
0,0,905,906,2024-05-21 00:14:01
0,0,905,909,2024-05-21 00:15:01
0,0,905,909,2024-05-21 00:16:01
0,0,905,909,2024-05-21 00:17:01
0,0,905,906,2024-05-21 00:18:01
0,0,905,909,2024-05-21 00:19:01
0,0,905,909,2024-05-21 00:20:01
0,0,905,909,2024-05-21 00:21:01
0,0,905,906,2024-05-21 00:22:01
0,0,905,909,2024-05-21 00:23:01
0,0,905,909,2024-05-21 00:24:01
0,0,905,909,2024-05-21 00:25:01
0,0,905,909,2024-05-21 00:26:01
0,0,905,906,2024-05-21 00:27:01
0,0,905,909,2024-05-21 00:28:01
0,0,905,906,2024-05-21 00:29:01
0,0,905,909,2024-05-21 00:30:01
0,0,905,909,2024-05-21 00:31:01
0,0,905,906,2024-05-21 00:32:01
0,0,905,909,2024-05-21 00:33:01
0,0,905,909,2024-05-21 00:34:01
0,0,905,909,2024-05-21 00:35:01
0,0,905,909,2024-05-21 00:36:01
0,0,905,906,2024-05-21 00:37:01
0,0,905,906,2024-05-21 00:38:01
0,0,905,906,2024-05-21 00:39:01
0,0,905,909,2024-05-21 00:40:01
0,0,905,906,2024-05-21 00:41:01
0,0,905,909,2024-05-21 00:42:01
0,0,905,909,2024-05-21 00:43:01
0,0,905,906,2024-05-21 00:44:01
0,0,905,909,2024-05-21 00:45:01
0,0,905,906,2024-05-21 00:46:01
0,0,905,909,2024-05-21 00:47:01
0,0,905,909,2024-05-21 00:48:01
0,0,905,909,2024-05-21 00:49:01
0,0,905,909,2024-05-21 00:50:01
0,0,905,909,2024-05-21 00:51:01
0,0,905,909,2024-05-21 00:52:01
0,0,905,909,2024-05-21 00:53:01
0,0,905,906,2024-05-21 00:54:01
0,0,905,906,2024-05-21 00:55:01
0,0,905,909,2024-05-21 00:56:01
0,0,905,909,2024-05-21 00:57:01
0,0,905,906,2024-05-21 00:58:01
0,0,905,906,2024-05-21 00:59:01
0,0,905,909,2024-05-21 01:00:01
0,0,905,909,2024-05-21 01:01:01
0,0,905,906,2024-05-21 01:02:01
0,0,905,909,2024-05-21 01:03:01
0,0,905,909,2024-05-21 01:04:01
0,0,905,909,2024-05-21 01:05:01
0,0,905,909,2024-05-21 01:06:01
0,0,905,909,2024-05-21 01:07:01
0,0,905,906,2024-05-21 01:08:01
0,0,905,909,2024-05-21 01:09:01
0,0,905,909,2024-05-21 01:10:01
0,0,905,909,2024-05-21 01:11:01
0,0,905,906,2024-05-21 01:12:01
0,0,905,906,2024-05-21 01:13:01
0,0,905,909,2024-05-21 01:14:01
0,0,905,909,2024-05-21 01:15:01
0,0,905,909,2024-05-21 01:16:01
0,0,905,909,2024-05-21 01:17:01
0,0,905,906,2024-05-21 01:18:01
0,0,905,909,2024-05-21 01:19:01
0,0,905,906,2024-05-21 01:20:01
0,0,905,909,2024-05-21 01:21:01
0,0,905,909,2024-05-21 01:22:01
0,0,905,906,2024-05-21 01:23:01
0,0,905,909,2024-05-21 01:24:01
0,0,905,909,2024-05-21 01:25:01
0,0,905,909,2024-05-21 01:26:01
